genome_ID	NCBI_ID	OTU	novelty_category
GCF_902499155.1	1503054	1503054	known_strain
GCF_002119825.1	69966	69966	known_strain
GCF_002834705.1	69966	69966	known_strain
GCF_002835305.1	69966	69966	known_strain
GCF_007673225.1	69966	69966	known_strain
GCF_000010625.1	449447	1126	known_strain
GCF_000312165.1	1160286	1126	known_strain
GCF_000312725.1	1160282	1126	known_strain
GCF_003206625.1	449534	1126	known_strain
GCF_000963965.1	146474	146474	known_strain
GCF_001499675.1	431306	431306	known_strain
GCF_002153545.1	104101	104101	known_strain
GCF_013307325.1	146476	146476	known_strain
GCF_001061655.1	43675	43675	known_strain
GCF_001476195.1	37923	37923	known_strain
GCF_002386365.1	43675	43675	known_strain
GCF_020176985.1	37923	37923	known_strain
GCF_000821065.1	545501	545501	known_strain
GCF_001485235.1	171693	171693	known_strain
GCF_900166635.1	1926285	1926285	known_strain
GCF_902377515.1	171693	171693	known_strain
GCF_000389755.1	1289594	29471	known_strain
GCF_003594975.1	554	554	known_strain
GCF_013449415.1	554	554	known_strain
GCF_014164815.1	555	554	known_strain
GCF_000583855.1	1288313	442	known_strain
GCF_001581045.1	442	442	known_strain
GCF_002723915.1	318683	318683	known_strain
GCF_006538885.1	1307950	586239	known_strain
GCF_000985635.1	668	668	known_strain
GCF_001640525.1	668	668	known_strain
GCF_009727525.1	668	668	known_strain
GCF_009727745.1	668	668	known_strain
GCF_000172495.1	517437	770	known_strain
GCF_000689635.2	1392507	948	known_strain
GCF_000689655.1	1392505	948	known_strain
GCF_900078505.1	948	948	known_strain
GCF_000192475.1	981384	981384	known_strain
GCF_013032005.1	81569	81569	known_strain
GCF_013032025.1	81569	81569	known_strain
GCF_013034745.1	55218	55218	known_strain
GCF_004353385.1	47466	47466	known_strain
GCF_009258445.1	47466	47466	known_strain
GCF_017748085.1	47466	47466	known_strain
GCF_019668925.1	47466	47466	known_strain
GCF_002990065.1	727	727	known_strain
GCF_003390455.1	729	729	known_strain
GCF_003414795.1	727	727	known_strain
GCF_003494485.1	726	726	known_strain
GCF_000012305.1	259536	334543	known_strain
GCF_001606025.1	261164	261164	known_strain
GCF_019926375.1	112002	112002	known_strain
GCF_900162825.1	1945521	1945521	known_strain
GCF_000050405.1	302409	779	known_strain
GCF_001686325.1	779	779	known_strain
GCF_013461265.1	779	779	known_strain
GCF_013461715.1	779	779	known_strain
GCF_006402415.1	34	34	known_strain
GCF_016698685.1	34	34	known_strain
GCF_018517205.1	1198133	34	known_strain
GCF_900111765.1	33	33	known_strain
GCF_004167065.1	823	823	known_strain
GCF_009719715.1	46503	46503	known_strain
GCF_012273055.1	823	823	known_strain
GCF_020091365.1	46503	46503	known_strain
GCF_000013345.1	106370	106370	known_strain
GCF_001017755.1	1562887	1562887	known_strain
GCF_001536285.1	795642	795642	known_strain
GCF_001636575.1	106370	106370	known_strain
GCF_000013365.1	316058	1076	known_strain
GCF_000020445.1	395960	1076	known_strain
GCF_001020905.1	1076	1076	known_strain
GCF_003547145.1	1076	1076	known_strain
GCF_000472825.1	1038869	312026	known_strain
GCF_003201635.1	416943	416943	known_strain
GCF_900109675.1	416943	416943	known_strain
GCF_900142845.1	60549	60549	known_strain
GCF_003315425.1	24	24	known_strain
GCF_007636415.1	38313	38313	known_strain
GCF_014702225.1	38313	38313	known_strain
GCF_019599125.1	24	24	known_strain
GCF_001559015.1	267128	267128	known_strain
GCF_001610995.1	33050	33050	known_strain
GCF_001956775.1	267128	267128	known_strain
GCF_900168005.1	1507287	1507287	known_strain
GCF_000761825.1	1428444	1247	known_strain
GCF_001868555.1	1247	1247	known_strain
GCF_001869375.1	1247	1247	known_strain
GCF_001869565.1	1247	1247	known_strain
GCF_006382035.1	33968	33968	known_strain
GCF_020089135.1	115778	1244	known_strain
GCF_020089205.1	115778	1244	known_strain
GCF_020089345.1	1607839	1244	known_strain
GCF_004022295.1	1254	1254	known_strain
GCF_009808085.1	1255	1255	known_strain
GCF_014651255.1	1254	1254	known_strain
GCF_015613745.1	1255	1255	known_strain
GCF_008119755.1	654	654	known_strain
GCF_009831085.1	648	648	known_strain
GCF_019971675.1	648	648	known_strain
GCF_902377445.1	654	654	known_strain
GCF_001499835.1	59813	59813	known_strain
GCF_015223265.1	1772	1772	known_strain
GCF_020227835.1	1766	1766	known_strain
GCF_900453465.1	1772	1772	known_strain
GCF_000516815.1	1402975	803	known_strain
GCF_000518185.1	1408425	56426	known_strain
GCF_001932235.1	38323	38323	known_strain
GCF_002891345.1	155194	155194	known_strain
GCF_001183915.1	1422	1422	known_strain
GCF_001587395.1	1422	1422	known_strain
GCF_002300135.1	1422	1422	known_strain
GCF_002810005.1	33940	33940	known_strain
GCF_000015885.1	416269	715	known_strain
GCF_000167095.1	228399	715	known_strain
GCF_001460855.1	754345	715	known_strain
GCF_900444975.1	715	715	known_strain
GCF_007002865.1	358	358	known_strain
GCF_009744055.1	373	373	known_strain
GCF_013318895.1	358	358	known_strain
GCF_014197995.1	358	358	known_strain
GCF_001595965.1	1743159	1743159	known_strain
GCF_001870335.1	576611	576611	known_strain
GCF_013307205.1	576611	576611	known_strain
GCF_018881935.1	1743168	1743168	known_strain
GCF_000378645.1	1169176	168697	known_strain
GCF_000384095.1	1050198	351187	known_strain
GCF_000384275.1	999546	168697	known_strain
GCF_000514775.1	1137260	351187	known_strain
GCF_900166995.1	31899	31899	known_strain
GCF_900168145.1	31899	31899	known_strain
GCF_900184125.1	31899	31899	known_strain
GCF_900184185.1	31899	31899	known_strain
GCF_016804145.1	96345	96345	known_strain
GCF_020566785.1	96345	96345	known_strain
GCF_900142685.1	946677	946677	known_strain
GCF_900186345.1	96345	96345	known_strain
GCF_002075555.1	28141	28141	known_strain
GCF_002107665.1	28141	28141	known_strain
GCF_002532525.1	28141	28141	known_strain
GCF_003207375.1	28141	28141	known_strain
GCF_001022155.1	546	546	known_strain
GCF_013724765.1	546	546	known_strain
GCF_014855715.1	546	546	known_strain
